,Open,High,Low,Close,Volume
2023-01-31 09:31:00,216.869,217.701,216.81,217.657,300.0
2023-01-31 09:30:00,217.399,217.426,217.34,217.382,2778.0
2023-01-30 16:00:00,218.125,218.153,218.066,218.108,32728.0
2023-01-30 15:59:00,217.821,218.271,217.762,218.206,12028.0
2023-01-30 15:58:00,217.997,218.104,217.776,217.819,3958.0
2023-01-30 15:57:00,218.017,218.114,217.801,218.01,5817.0
2023-01-30 15:56:00,218.105,218.226,217.958,218.0,4087.0
2023-01-30 15:55:00,218.125,218.158,217.86,218.089,2440.0
2023-01-30 15:54:00,218.174,218.241,218.086,218.143,2300.0
2023-01-30 15:53:00,218.164,218.3,218.007,218.079,2310.0
2023-01-30 15:52:00,218.616,218.644,218.13,218.172,1705.0
2023-01-30 15:51:00,218.756,218.913,218.566,218.609,2402.0
2023-01-30 15:50:00,218.743,218.967,218.674,218.717,1734.0
2023-01-30 15:49:00,218.881,218.928,218.753,218.795,1418.0
2023-01-30 15:48:00,218.979,219.007,218.782,218.825,726.0
2023-01-30 15:47:00,218.974,219.002,218.831,218.874,700.0
2023-01-30 15:46:00,219.106,219.139,218.92,218.962,700.0
2023-01-30 15:45:00,219.185,219.213,219.072,219.114,560.0
2023-01-30 15:44:00,219.136,219.291,219.077,219.247,734.0
2023-01-30 15:43:00,219.101,219.232,219.042,219.114,3555.0
2023-01-30 15:42:00,219.155,219.183,219.042,219.085,300.0
2023-01-30 15:41:00,219.205,219.232,219.086,219.129,300.0
2023-01-30 15:40:00,219.239,219.291,219.135,219.188,1122.0
2023-01-30 15:39:00,219.229,219.257,219.067,219.178,900.0
2023-01-30 15:38:00,219.209,219.237,219.106,219.148,300.0
2023-01-30 15:37:00,219.048,219.282,218.929,219.129,2520.0
2023-01-30 15:36:00,219.028,219.056,218.929,218.972,420.0
2023-01-30 15:35:00,218.92,219.066,218.835,218.972,3201.0
2023-01-30 15:34:00,218.89,219.046,218.831,218.942,2231.0
2023-01-30 15:33:00,218.944,218.99,218.841,218.884,500.0
2023-01-30 15:32:00,219.067,219.12,218.939,218.982,400.0
2023-01-30 15:31:00,219.067,219.095,219.008,219.05,100.0
2023-01-30 15:30:00,219.067,219.095,218.802,218.844,400.0
2023-01-30 15:29:00,219.17,219.198,219.032,219.075,400.0
2023-01-30 15:28:00,219.263,219.321,219.018,219.06,1747.0
2023-01-30 15:26:00,219.19,219.218,219.13,219.173,100.0
2023-01-30 15:25:00,219.205,219.232,219.027,219.07,315.0
2023-01-30 15:24:00,219.234,219.296,219.106,219.148,500.0
2023-01-30 15:23:00,219.406,219.444,219.258,219.305,700.0
2023-01-30 15:19:00,219.273,219.424,219.175,219.379,500.0
2023-01-30 15:18:00,219.283,219.311,219.214,219.261,535.0
2023-01-30 15:17:00,219.415,219.443,219.234,219.276,207.0
2023-01-30 15:16:00,219.352,219.404,219.292,219.359,303.0
2023-01-30 15:15:00,219.155,219.183,219.092,219.134,547.0
2023-01-30 15:14:00,219.43,219.458,219.312,219.355,200.0
2023-01-30 15:13:00,219.46,219.488,219.4,219.443,100.0
2023-01-30 15:12:00,219.543,219.571,219.484,219.526,100.0
2023-01-30 15:11:00,219.47,219.498,219.41,219.453,100.0
2023-01-30 15:10:00,219.519,219.591,219.459,219.519,300.0
2023-01-30 15:08:00,219.509,219.576,219.449,219.531,400.0
2023-01-30 15:07:00,219.587,219.615,219.39,219.521,340.0
2023-01-30 15:06:00,219.59,219.618,219.531,219.574,192.0
2023-01-30 15:04:00,219.685,219.728,219.626,219.683,300.0
2023-01-30 15:02:00,219.705,219.733,219.646,219.688,200.0
2023-01-30 14:59:00,219.946,219.974,219.754,219.811,411.0
2023-01-30 14:58:00,219.941,219.978,219.881,219.934,300.0
2023-01-30 14:57:00,219.725,219.949,219.665,219.904,706.0
2023-01-30 14:56:00,219.685,219.728,219.626,219.683,205.0
2023-01-30 14:55:00,219.607,219.635,219.508,219.551,400.0
2023-01-30 14:53:00,219.764,219.871,219.704,219.826,300.0
2023-01-30 14:51:00,219.76,219.808,219.7,219.763,900.0
2023-01-30 14:48:00,219.941,219.969,219.754,219.835,1000.0
2023-01-30 14:47:00,219.774,219.802,219.714,219.757,100.0
2023-01-30 14:46:00,219.921,219.949,219.695,219.737,7036.0
2023-01-30 14:45:00,219.97,220.037,219.911,219.992,300.0
2023-01-30 14:44:00,220.024,220.052,219.964,220.007,200.0
2023-01-30 14:43:00,220.029,220.106,219.95,219.992,400.0
2023-01-30 14:41:00,219.931,219.959,219.871,219.914,100.0
2023-01-30 14:40:00,220.107,220.136,220.048,220.091,1652.0
2023-01-30 14:39:00,220.134,220.163,220.072,220.115,200.0
2023-01-30 14:38:00,220.157,220.19,220.097,220.145,200.0
2023-01-30 14:37:00,220.127,220.155,220.068,220.11,100.0
2023-01-30 14:36:00,220.127,220.155,220.068,220.11,200.0
2023-01-30 14:35:00,220.255,220.283,220.195,220.238,100.0
2023-01-30 14:31:00,220.318,220.347,220.259,220.302,100.0
2023-01-30 14:29:00,220.353,220.381,220.293,220.336,100.0
2023-01-30 14:28:00,220.274,220.302,220.175,220.218,317.0
2023-01-30 14:26:00,220.343,220.371,220.283,220.326,100.0
2023-01-30 14:19:00,220.52,220.548,220.46,220.503,100.0
2023-01-30 14:17:00,220.736,220.781,220.431,220.542,2377.0
2023-01-30 14:15:00,220.755,220.783,220.691,220.733,200.0
2023-01-30 14:14:00,220.76,220.788,220.666,220.709,200.0
2023-01-30 14:10:00,220.893,220.921,220.833,220.876,100.0
2023-01-30 14:09:00,220.961,220.989,220.784,220.915,1331.0
2023-01-30 14:07:00,221.177,221.205,221.117,221.16,100.0
